context,text
throw pillow room,throw pillows and colorful decor in the living room
block road sheep,A herd of sheep are blocking the road.
train front track,Train comes down tracks in front of old castle.
couch wall room,A room with three TVs in the wall and a large couch.
train bridge come,A travel train that is coming across a long bridge.
temple place worship,hindu place of worship is a temple .
car race win,The car is winning a race.
politician arrive event,politician arrives at the event
tree sky silhouette,tree silhouette in the evening sky
recur golfer competition,golfer during recurring competition held
track bridge travel,Two trains travel on tracks on a bridge
head window poke,A man pokes his head out of a window.
table vase sunflower,The sunflowers are in the small vase on the table. 
bear sleep zoo,young polar bear sleeps on rocks at the zoo
cat stare distance,cat staring into the distance
cattle field herd,couple out in the field checking on herd of cattle
train building move,a train in station moving besides the buildings
noodle plate serve,Beef a vegetables are served on a plate with noodles. 
dry market fish,dried fish on a market
church sky front,people cycling in front of a white traditional catholic church under cloudy sky
grind snowboarder rail,The snowboarder is grinding a rail.
plane runway park,Five very large planes are parked at a runway.
field park airplane,Two airplanes are parked on a grassy field.
airplane park tarmac,An red and white airplane parked on a concrete tarmac. 
train track park,a big train that is parked on a track
skateboarder skate wall,A skateboarder skates on a white wall near the street.
match stadium watch,supporters watch the match from a hill outside the stadium
room cushion sofa,large painting on wall above blue sofa with contrasting cushions in a nineties living room
boat moor bay,cruise boat moored at hirta bay
tree grow top,spruce trees grow on top .
chair room feature,"A room featuring a couch, tv and chair."
come sky land,geese coming in to land in the evening sky
train travel coast,a small child watching a train traveling along the coast
assist student teacher,teacher assisting college student in a computer lab
beach fisherman net,a fisherman throws his net on beach .
sheep hill pasture,Two sheep grazing in a pasture up in the hills.
plane land airport,plane coming into land in airport .
surface float water,a man floats at the surface with his face in the water .
elephant trunk raise,An elephant raises his trunk at the zoo.
hang curtain room,Beaded curtains hang in the entry way of a dated dining room.
cloud move mountain,clouds moving before a storm near some mountains
slope snowboard mountain,The people are on mountain snowboarding down the slope.
gather friend family,friends and family gather often for a buffet .
runway walk model,model walk the runway in creations .
prepare airport plane,A plane preparing for takeoff at and airport
sky airplane mountain,An airplane is in the sky over some mountains.
cucumber tomato salad,"Cooked asparagus and a green salad with cucumbers, tomatoes and chick peas."
fish sale market,fish on sale in the market
band cheer concert,Three boys at a concert cheering the band on.
study student exam,The students were studying for their final exams
seating fireplace room,marble fireplace in a room with comfy seating
chimney smoke come,much smoke coming from chimney to the sky in winter
toilet bathroom stall,A bathroom with white toilet and shower stall
seat classroom desk,A boy is seated at his desk in a classroom.
dog lay pavement,A white dog is laying down on pavement.
zoo watch giraffe,Two giraffes being watched at a zoo. 
grassland walk elephant,Elephants walk through grassland under a stormy sky.
plane airport landing,A big jet plane that is coming in for a landing at the airport. 
keyboard hand type,female hands typing on keyboard of laptop in train .
serve salad cheese,A spoon is serving fruit salad with cottage cheese.
sun cloud rise,time lapse of the sun rising behind clouds
walk bear hillside,A lone bear walking up a grassy hillside.
train run city,a train running to a city
fly aircraft mountain,an aircraft flying over mountains .
plane tower fly,planes were flown into the towers .
form cloud sky,cloud forms a shadow on the sky
conduct conductor orchestra,A conductor conducts an orchestra in which there are many horns.
dip water toe,a toe is tentatively dipped into water
squirrel eat nut,squirrel while eating a nut
eat barn horse,two horses eating grass close to a barn
politician crowd address,politician addresses the crowd .
harbor park boat,A bunch of boats are parked in a harbor.
look piece pizza,A boy looking at his large piece of pizza.
computer library work,adults working on computers in a library
floor crawl toy,A baby boy crawling on the floor with a toy.
teacher student work,The teacher is helping her student complete some work.
carrot vegetable plate,"There are some shrimp, carrots, and other vegetables on the plate."
day move home,time lapse of clouds moving over a home during the day
elephant savannah walk,a herd of elephants walking across savannah
look room balcony,looking at balcony from inside the room
runway airplane land,A small airplane is landing on a runway.
cattle field herd,herd of cattle in a field
cat ball yarn,The cat likes balls of yarn.
golfer green shot,golfer plays his second shot into the fourth green during day
bridge traffic pass,passing traffic over an arched bridge
hair separate section,"A woman is working on her hair, separating it into sections."
image computer generate,a computer generated image of the new building
train travel mountain,A train traveling between two very large rocky mountains.
calf stand mother,a calf stands beside her mother .
sheep grass lie,sheep lying in the grass
horse walk meadow,The group of horses is walking in the meadow.
smoke come train,A green and red train with smoke coming from it.
heart pierce arrow,the arrow with a heart pierced through him .
grass plane park,A small crop plane parked on the grass
plate top broccoli,A red plate topped with broccoli and sauce.
watch train station,People watching a modern commuter train come in to the station
jump snowboarder snowboard,The snowboarder grabs his snowboard during a jump.
round corner car,race car rounding a corner during event
shower bathroom vanity,"Image of a vanity, shower and open window in a bathroom."
rise field sun,sun rise across a snowy stubble field
take sky airplane,An airplane takes off under a cloudy sky.
city train head,trains heading east along a city
sunrise cloud sky,a sunrise with clear skies and few clouds .
city boat sea,a city from the sea by boat or kayak
herd eat sheep,The large herd of sheep are eating from the grass. 
look grass bear,a bear looking at something in the grass .
cup coffee cake,coffee in a paper cup and cake
airport window airplane,Scene of airplane through window at airport on overcast day.
rose bouquet vase,yellow homegrown roses bouquet in a vintage iron as vase
corn grow field,green field of corn growing up behind a wire
coast rock sea,the coast of white rocks by the sea
cat eat mouse,some young cats eat a mouse
arrive comedian premiere,comedians arrive at the premiere
room home look,a room looks much like a bedroom in an average home .
gather hole elephant,A group of elephants gathered around their watering hole
crowd entertain clown,a clown entertains a crowd
sit station track,A train sits on the tracks at a station
tower building rise,A classic clock tower rising from a modern building
share table meal,people sharing a meal at a table
jet airport take,A passenger jet takes off in the distance from the airport
tile bathroom toilet,A toilet is shown inside the bathroom with tile.
piece wall art,would love this as a piece of art for my walls .
flower bee nectar,bees find nectar on a yellow flower
herd pasture sheep,A herd of sheep grazing in an open pasture.
stare day window,double exposure of young boy stares out of window on a rainy day
carry waiter tray,A waiter carries a finished tray of food up stairs.
tree sheep field,Four sheep in a field under a large tree. 
arm mother sleep,baby sweetly sleeps in the arms of her mother .
look room city,lounge room looking out into the city
toy cat lie,the cat lies in a tinsel with toys
sauce dough spread,A man spreads sauce on uncooked pzza dough with a ladle.
vanity wall bathroom,concrete walls and vanity for the minimalist bathroom
shower wall tile,"A bathroom has no mirror or shower curtain, blue and brown walls, and tan tile."
row park airplane,A row of airplanes parked next to each other on a field.
fish sale market,fish for sale the market
mother rest daughter,A mother and her daughters are resting.
city tourist explore,tourists in a small zodiac exploring the misty fjords of a city
track train drive,Two white trains drive along the train track.
row wall mount,row of ornate wrought iron light fixtures mounted on an exterior wall
track way train,A train makes its way down the tracks.
train station building,A train pulling into a station with buildings
tree fungus grow,fungus growing at the base of a tree
day train arrive,we arrived by train on a bright but freezing day .
track train lead,train tracks leading to a darkened sky
hand bolt tighten,hands of a workman tighten a bolt
lie cat sofa,red with white cat lies on a sofa .
goat hill sheep,A few sheep on a hill by a goat.
piece bread spread,Butter is being spread on a piece of bread and then Turkey and cheese is being topped off.
slope skier descend,A skier bends his knees as he descends a slope.
shelf book stand,A cat stands on a shelf full of books.
track train sky,A train sits on the tracks under an overcast sky. 
tree day lake,the stones and trees beside a lake in winter day during a snowfall
zoo watch giraffe,a boy watches a giraffe at a zoo
plane runway taxi,A red prop plane taxiing down a runway.
trunk tree grow,trunks of healthy cypress trees growing in a swamp
pollen flower bee,a bee collects pollen in the flower
train day travel,People traveling in an open style train on a sunny day.
passenger luggage airport,passengers collecting luggage at an airport
sheep stand hay,two sheep standing on hay in wooden barn
crowd entertain clown,The clown is entertaining the crowd.
shop mall family,family with kids shopping in mall having a break
frame wall mirror,a gallery wall of vintage frames and mirrors
bathroom lot room,A clean bathroom with a lot of room. 
patio table umbrella,The patio is full of tables with umbrellas.
skateboarder street skate,The skateboarders skate through the city streets.
entertain crowd musician,a musician entertains a crowd with his whistle
station take train,we then got on a train that took us to the main station .
cloud sky image,image of clouds in a blue sky
vineyard grape vine,grapes grow on vines at a vineyard
leader mass celebrate,religious leader celebrates a mass
train come track,A train is coming along on a track.
conduct conductor orchestra,A conductor conducts his orchestra.
day move cloud,the cloud moving in during the day
enclosure giraffe eat,Two giraffes in an enclosure eating a tree.
shot station train,a low shot of a tube train arriving in the station
restaurant counter stand,A woman standing at a counter in an empty restaurant
lot thing room,A room filled with lots of tools and other things.
gate plane park,planes parked at the gate
space live room,combine your dining room and living space .
match fan player,football player applauds the fans before a match
banana sale market,banana for sale in the fresh market
curve train round,A commuter train that is rounding a curve along the track.
sleep cat laptop,Two cats seem quite cozy sleeping on a laptop.
match stadium watch,soccer fans watches a league match in a stadium
flower bloom tree,A flower in a tree that is blooming.
flow water forest,melting water flows through the forest
tree grow moss,deep green soft moss growing on old trees .
wall church crucifix,crucifix in church on the stone wall
look piece pizza,A good looking pizza has a piece missing.
station train roof,red roofs of the train station and trains
reflection mirror stare,A cat stares at its reflection in a mirror.
clothe hang rack,A boy in a blue shirt hanging on a rack of clothes.
coffee pastry cup,There is a pastry and a cup of coffee on the tray.
flower pollen collect,bees on a flower collecting pollen
fisherman beach boat,fishermen hauling boat up the beach at coast
cloud sun sea,sun rises above a fluffy sea of clouds
decorate home holiday,home decorated for the holidays
cross pond bridge,bridge that crosses duck pond .
fireplace couch chair,"A living room has couches and chairs, as well as a fireplace."
tree track travel,A long train travels past some trees along the railroad tracks
vegetable fish plate,There is some fish with vegetables on this plate.
decorate decor room,how to decorate with a large clock as decor in a dining room .
look telescope space,girl and her father looking into space through a telescope
ribbon tie package,A woman describes wire ribbon while tying a bow on a package using gold ribbon.
cloud move sky,clouds moving across a sky with trees
retrieve stick swim,a yellow labrador retriever swims out to retrieve a stick in a south marsh
park family picnic,family on the picnic in park
city train come,freight train coming into the city
mountain ascend climber,Two mountain climbers are ascending the mountain.
trough eat hay,The sheep are eating hay in from a trough.
light train dusk,A freight train travelling at dusk with lights on.
look sheep herd,girl looking at a herd of sheep
water float pond,pink water lily floating on the pond
island airplane fly,A small airplane flying up over a island.
track country train,train tracks in the country
sheep mountain flock,a flock of sheep in mountains
olive pizza table,pizza with pineapple and black olives on the old table .
feature bathroom toilet,A bathroom features a toilet and a pipe.
pilot plane fly,Two pilots are flying a small plane alone
take classroom note,students taking notes in a classroom
mountain skier way,A skier making her way down a snowy mountain.
graze sheep goat,a flock of goat and sheep is grazing on a hill above event
look sheep grass,sheep chewing grass looking at camera .
walk zebra enclosure,A zebra walks away from its enclosure in a zoo.
couple beach surfboard,A couple of women are at the beach with surfboards
take rest hiker,Some hikers are taking a rest on the rocks.
grocery buy market,locals buying groceries at the local market .
produce market shop,local people shop for produce at a market .
flower nectar collect,a bee collects nectar on a flower
tree day road,baobab trees along the rural road at sunny day
sheep meadow herd,a herd of sheep on meadow
fight fire fireman,Firemen are fighting a fire.
cattle grass herd,a herd of cattle eating grass on the meadow .
learn teacher student,students are learning from their teacher
art watch practice,a man appears to be practicing a fighting art  while another man watches
paint park motorcycle,An elegantly painted custom motorcycle parked on the grass.
potato plate serve,herb roasted potatoes served on a plate
ring fight boxer,A pair of kick boxers fighting inside of the ring.
sky balloon cloud,balloons and clouds in the sky
hat wall hang,A rack of hats hanging from a wall.
elephant walk plain,A baby elephant is walking across a plain
couch room window,A couch and a window in a room.
image computer generate,computer generated image of cockpit
skier snow lay,happy skier laying as a star on the snow
boat bridge cross,fishing boats cross the rail bridge
tree shade sheep,sheep in the shade of an oak tree
mountain resort ski,Three people ski down a mountain at a ski resort.
barn stand sheep,an image of a baby sheep standing in a barn
wait perform turn,tribal women from state waited for their turn to perform .
sea boat anchor,small thai fisher boat anchoring in the slightly rough sea .
suitcase pull airport,A child is pulling a suitcase at an airport.
fill mug coffee,A woman is filling a mug with coffee.
tree lot field,trees and lots of friends in a corn field
sidewalk pass pedestrian,people have brunch on the sidewalk as pedestrians pass by
cloud building sky,white clouds in a blue sky reflecting off buildings
pair look direction,a pair of tourists look for directions outside greek revival structure on a dull day
spend room time,spend some time with us in our living room .
racer turn lean,A motorcycle racer leans in low to make a tight turn.
overlook tower building,tall modern buildings overlook an old church with a tower
anchor boat harbor,boats anchored in the harbor
square building tower,City square of old brick buildings and clock tower in middle
train track move,A train moves slowly on some empty tracks
worker roof repair,A worker smokes while repairing his boss' roof.
bathtub bathroom shower,bathtub and shower in the new bathroom
cat rug sleep,cat sleeping on a rug
elephant extend trunk,A large gray elephant with its trunk extended
lot carry luggage,A young child drags carry on luggage in a parking lot.
work garden family,An black family is working on their garden while their mother looks on.
trough eat hay,goat eats hay from the trough
orange apple fruit,A bowl of fruit with an orange and an apple
building wall clock,a very tall building with two city clocks on the wall
watch branch parrot,A very colorful parrot perched on a wooden branch watching people.
customer shop stand,customers stand at a shop .
train sky travel,bedding with trains traveling across the sky
banana plate table,A bunch of bananas is on the table with some other plates.
tree giraffe field,two giraffes in a field near a tree
plane boat fly,A plane flies over a boat.
leave train track,A miniature train is on its track and ready to leave the depot.
lean umbrella wall,a closed umbrella leaning on a building wall
eat flock grass,flock of sheep eating green grass during autumn on the island
city event hold,city will hold the global event under the theme
eat hay goat,goats eating hay in the barn .
stand airport tarmac,A pair of jet airplanes stand at rest on a tarmac at an airport.
cover moss rock,creek with moss covered rocks .
sky air airplane,Red and white airplane in the air with cloudy skies.
plate sauce meat,Some meat with sauce on it is on a plate.
cricketer wicket celebrate,celebrating the wicket of cricketer .
leg cat sleep,our cat sleeps on the legs of our cat
book search library,girl is searching a book in the library
wall mirror frame,This bathroom is all white and has a framed mirror on the wall
laptop student research,a diverse group of medical students gathers around a laptop to conduct research .
pizza lot cheese,The small pizza has a lot of sauce but little cheese.
travel boat bridge,A boat traveling across a lake near well  light bridges.
chicken egg lay,A chicken is laying an egg.
boat marina yacht,yachts and fishing boats at the marina at dusk .
window floor come,A dark den with a window with light coming in onto the wood floor.
walk father bride,father and bride walk up the isle
monitor desk keyboard,"There is a monitor, keyboard, mouse and laptop on the desk. "
top microwave oven,A cat perches on top a microwave oven.
cub forest bear,black bear with its cubs in a forest
curve train track,a train heading for the curve in the track
pizza piece plate,A plate topped with four pieces of pizza.
category award win,top journalist on won award in the category .
crawl toy reach,A baby crawls across the floor to reach a toy.
hide cat bag,cat hiding in a bag
cake serve dish,type of dish is a fun cake to serve for breakfast or dessert .
shelf mount wall,A TV mounted inside of a wall between two shelfs.
sleep cat laptop,A cat sleeps next to a laptop as someone types.
travel road van,a van finding it difficult to travel in the damaged road
flower nectar collect,bumblebee collecting nectar at a flower
walk sheep meadow,herd of sheep walking on a green meadow
balloon float watch,watch as other balloons float above geographical feature .
take sky airplane,An airplane is taking off into the sky. 
bee sit flower,the bee sits on the flower of the apricot .
wall surround city,walls surrounding the old city
feature fashion look,a fashion look featuring dress
room fireplace face,living room facing away from the fireplace
mountain rise sun,sun rising over the mountains and lake
concert perform singer,A singer performs at a concert
train move railroad,A huge train is on a railroad and won't be moving soon. 
bridge park cross,astyle small bridge crossing a stream in a park
sit lot curb,A man sits on the curb beside an empty lot.
stain window church,edwardian stained glass window from the old church
cake serve dish,italian dish and cake served on ship
motorcycle park space,Several motorcycles are parked close together in numbered spaces.
plane airport park,A US Army plane parked in am airport.
train round bend,a train rounds the bend and approaches from a distance
meal share friend,Friends share a meal on the floor together.
lot tree grow,A lot of bananas are growing on a tree. 
rest sheep lamb,A sheep with two lambs resting on a green field.
eyebrow raise smile,A little girl raising and lowering her eyebrows and smiling.
shower room bathroom,how shower in bathroom just beside the room
building smoke fire,fire on a building and smoke is all over the place
lie carpet dog,Two dogs lay on the carpet.
bread loaf bake,Two loaves of bread baking in an oven.
speed car tunnel,"Now, someone speeds between cars in a tunnel."
rain wait stop,school girls wait for the rain to stop before continuing with class
daughter mother share,a sweet moment shared between mother and daughter .
eat shirt pizza,A boy in a yellow shirt is eating pizza.
train station arrive,a train arrives at station
hill graze goat,goats grazing in a hill
fill tourist boat,a boat filled with tourists .
ingredient dish include,The dish includes at least three different ingredients.
grocery buy market,people buy groceries at a market .
distance slope tree,green meadows flowers trees and mountain slopes at high mountains in the distance
help tutor student,student being helped by a tutor .
tile color bathroom,A toilet in a bathroom with two colors of tile.
tower top city,city from top of the tower
bathroom curtain bathtub,A bathroom with a blue shower curtain over the bathtub.
student homework work,a student works on homework outside
tree track travel,A train traveling down tracks next to trees.
window light shine,Light from a window shining onto a bed. 
travel road van,camper van travelling south on road
cheese oven pizza,Cheese and herb pizza fresh from the oven.
player match look,players look during the match .
station head train,a high speed train heading at central station
politician event greet,politician is greeted by celebrity at an event
goodbye say friend,Two friends embrace before saying goodbye
zoo eat giraffe,Three giraffes eating in a courtyard of a zoo.
heart middle shape,heart shaped single tree in the middle of field at springtime .
elephant ride jungle,A family rides on a large elephant through the jungle.
olive pizza table,a pizza on a table with olives on it 
tent sleep family,the family slept in a tent along the way while she traveled .
sky soar cloud,an airplane is soaring through a sky of clouds
hill climb hiker,A hiker climbing a rocky hill with fog surrounding him.
stain church glass,stained glass inside the church
eagle tree perch,fish eagles perched on the top of a tree
ski mountain day,a group of people ski down a mountain during the day
bride flower bouquet,a bride with a bouquet of flowers
pizza cheese put,A woman is putting cheese on a pizza.
paint add color,painted airplanes add a splash of color to the sky
lie cat laptop,a cat lying on a laptop
mouth mouse cat,hungry cat with a mouse as prey in mouth
boat abandon beach,boat abandoned on a beach
look pizza plate,A small child looks a a plate of pizza.
walk zebra enclosure,Two zebras walking side by side in an enclosure
herd grass sheep,A herd of sheep roam in the grass.
train tunnel track,A train is going down the tracks by a tunnel.
plate dish vegetable,The gourmet dish features meat and vegetables on the plate..
graze bull field,bull with long horns grazing in a field
family fun park,A family is having fun at an amusement park.
zoo look bear,A pair of twins looking at a bear at a zoo.
grass smile lie,woman lying in the grass smiling
family gather picnic,families gather with a family of overseas workers for a picnic
feed sidewalk pigeon,feeding time for pigeons on a sidewalk
flower stop smell,a rabbit stops to smell the flowers .
cat windowsill sleep,cute cat sleeping on the windowsill in a rainy day
exit plane passenger,an image of passengers exiting a plane 
fly flower bee,bee flies away from the flower .
fill room smoke,smoke filled room in a building
stand tarmac airplane,A man standing on the tarmac next to an airplane.
anchor boat harbor,wooden fishing boats anchoring at a harbor
lean wall dog,A dog leaning across a concrete wall near a chair.
pancake syrup butter,"A plate with pancakes, syrup, grits, and butter"
place worship locate,buddhist place of worship located in the heart
lab conduct experiment,The women are conducting experiments at the chemistry lab.
station enter train,a subway train enters a station
player session athlete,soccer player and athlete during session before the match .
fly sea plane,plane flying over a sea .
grass lean eat,The giraffe is leaning down to eat the grass.
train station leave,a train leaving station bound
plane runway sit,An old plane is sitting on a runway.
boat moor marina,canal narrow boats moored on the canal near marina
run sheep road,run off the road by sheep
boat beach island,small boat on beach at island
airplane tarmac airport,airplane on tarmac at an airport
tarmac sit aircraft,aircraft sits on the tarmac
hang couch wall,posters hanging on the wall above the green couch
wood train load,loading wood into the train
bathroom counter vanity,A vanity in a white bathroom with toiletries on the counter.
monitor desk keyboard,A monitor and a keyboard on a desk.
liberty tourist statue,tourists visiting the statue of liberty on an overcast day
boat bridge cross,A gondola like boat crossing over a bridge
beach time spend,people spend time at the beach
shelter rain take,a cat takes shelter from the rain at a small shrine .
stack book clock,A lime green clock has been placed on a tall stack of books.
flashlight shine turn,A woman turns on a flashlight and shines it in a bowl.
coffee pastry cup,pastry with a cup of coffee
corn cob eat,child eating a cob of corn .
sheep mountain field,group of sheep huddled together in a field at the base of a mountain
fill room shelf,A room that is filled with movies on the shelf.
boat canal travel,People on boats are traveling through a canal.
cat shade rest,cat resting in the shade
book lot library,lots of books at the library .
speech politician deliver,politician delivers a speech today
runway sit airport,Several commercial planes sit on a runway next to an airport.
top tower castle,the castle seen from the top of tower
tiger zoo cage,A women is petting a tiger behind the cage in the zoo
airplane airport landing,airplane approaching the airport and landing in a bright sky
airport bag wait,People waiting for their bags in an airport.
sugar add bowl,Sugar is added to the bowl.
station head train,a train headed north pulls into the new station .
lid bathroom toilet,A toilet that is in a bathroom that has its lid up.
light cloud sky,clear sky and clouds in the summer on day light
waterway cross bridge,Commuter train crossing waterway on bridge in city.
track arrive train,Black train arriving down the tracks at its station.
fruit orange bowl,a bowl of fruit with an orange on top
room fill item,A room filled with different types of items all around.
airplane airport landing,Airplanes on a runway and landing at an airport.
airport pull luggage,A guy pulling his luggage toward an airport.
shower room bathroom,each room has ensuite bathroom with shower
patio table umbrella,adding a table and umbrella to a patio
sheep street way,Several sheep make their way down a rural street.
doctor nurse talk,serious nurse talking about medical results with a doctor
topping pizza lot,The pizza is loaded with lots of toppings.
plane land airport,A plane descending to land in a airport
spread topping pizza,A man is spreading toppings on to the top of a finished pizza.
pier sit lake,young woman sits on a wooden pier on the lake
desk head sleep,A man sleeps with his head on a desk.
train tunnel leave,A train leaving the station moving into a dark tunnel with lights on.
prepare airport plane,Plane preparing to takeoff on runway of airport.
pen flock sheep,border collie dog herding a small flock of sheep into a pen
fire fireman work,firemen work at the scene of the fire .
chair room feature,dining room featuring fabric on the chairs
art wall hang,art hanging on the wall in a coastal living room
book cat lie,cat lies on a book
stand zebra giraffe,two giraffes standing above a single zebra 
grocery buy market,customers are seen buying groceries from a mini market .
mozzarella tomato plate,"A mini pizza with olives, tomatoes, mozzarella and parmesan is on the plate."
plane airport passenger,The plane is loading a few passengers in the airport.
sit basket banana,A woman sits behind two large baskets of bananas.
room chair stripe,A living room with striped upholstered sofa and chairs.
wait perform turn,students waiting for their turn to perform
laptop web surf,kids playing and surfing the web on digital tablet and laptop
family take portrait,a family has their portrait taken at christmas time
structure build frame,People building the frame to a structure in fast forward to music.
mountain cloud roll,clouds roll over the mountain
perform yoga beach,yoga being performed at sunrise on a beach
window bathroom stain,A bathroom with a bedae and a stained glass window.
lake paddle canoe,woman paddling canoe on a lake
flower grow field,field of pink flowers growing under the morning sun
clock bell tower,tower with bells and clock .
bathroom tile lay,Man laying tile in his bathroom.
barn stand sheep,a sheep stands in a barn .
airplane runway take,A Delta airplane takes off of the runway.
chalkboard equation write,A man is pointing out several quantities in an equation written on a chalkboard.
clock sky building,A clock in middle of two building below blue sky.
sheep relax field,A herd of sheep relax on a grassy green field.
wait perform turn,a girl waits her turn to perform at festival .
plate broccoli noodle,A plate has noodles and broccoli on it.
prayer statue front,An Asian man with his head bowed in prayer in front of a golden statue.
eat flock grass,flock of sheep eating grass .
goodbye say friend,A man saying goodbye to his friend.
stare mouse cat,cat staring at a mouse
curve train round,Yellow and blue passenger train rounding a curve. 
side clock tower,an old church tower with clocks on all four sides
dad walk bride,a beautiful bride walks down the grassy aisle with her dad .
pasture day graze,The Moose is grazing in the pasture on a foggy day.
clock room wall,There are two clocks on the wall in the room.
pair grass eat,a pair of ducks eats grass
tourist visit attraction,tourists visit tourist attraction amid heavy smog .
cover pillow bed,A bed that has a cover and pillows.
salad plate grill,collage of grilled salad with sauce on a white plate .
field harvest corn,field of corn being harvested on an autumn day
gear airplane land,landing gear of an airplane
lake stand friend,A woman is avidly speaking to her friend who is standing by a lake.
mountain ascend climber,climber ascending a cliff above distant mountains
toilet bathroom stall,A toilet that is in a blue stall in a bathroom.
sauce dough pizza,Someone is making a pizza they are spreading the sauce on the dough and cheese.
take plane land,One plane taking off and another ready to land.
hill hiker walk,hikers walking up a rocky hill
bouquet create flower,men are learning how bouquets of flowers creating .
carpet wall room,A wildly decorated living room with a carpet on the wall!
tree building abandon,trees grow in a brick abandoned building
grass eat deer,a deer eating grass in the evening
orange apple fruit,"There are apples and oranges, which are both fruits."
book note take,a girl taking notes with poetry book .
observe silence moment,members observe a moment of silence before their game .
board airport plane,Plane being boarded by people in an airport
boxer win fight,The boxer in red is winning the fight.
doctor hospital stand,doctor standing outside a hospital
track city train,A train going down the track near a city
window room sunlight,Sunlight is coming in windows on a living room.
ride traffic city,a city leaves the station riding high above the traffic
coffee cup counter,Two glazed doughnuts are served with a cup of coffee on a black counter
train tunnel travel,A train is traveling into the dark tunnel.
pull book shelf,woman pulling out a book from a shelf
restaurant work counter,An empty restaurant with two employees working behind the counter.
carry builder cross,man helps builder to carry the cross
mother daughter hug,A mother and her twin daughters are hugging.
skateboarder street skate,A skateboarder skating down a street.
diver water dive,The diver dives out into the water.
point fireplace room,faux fireplace adds warmth and a focal point to the guest room .
take care horse,taking care for the horse
move airport airplane,commercial jet airplane moving at the airport
soldier drive tank,The soldier is driving a large tank.
tarmac airplane walk,a woman and boys walk across the tarmac from an airplane
buy think car,think about other options before offering to help someone else buy a car
rise field sun,sweet sun rising over the fields
mozzarella tomato plate,A plate of tomatoes topped with fresh mozzarella and basil 
water float pond,Three ducklings float in the water of a pond
fly flower bee,bee flying on a flower
city overlook tower,A clock tower overlooks the city and tells the time
search food bear,The bear is searching for food in his den.
flower stop smell,stop and smell the flowers
cat suitcase lie,cute cat lying in a suitcase
bay boat mountain,fishing boat in the bay and mountain
laptop lie desk,portrait of a man lying down at desk near laptop
vegetable bowl salad,fresh salad with vegetables in a bowl
pizza topping tomato,A pizza is loaded with tomatoes and other toppings.
cattle grass herd,A herd of cattle that are grazing for some grass.
walk lake bridge,A man is walking under a bridge in a shallow lake.
conductor orchestra musician,A group of young musicians play in an orchestra with a conductor.
snowman snowball roll,A girl is rolling a snowball so she can make a snowman.
harbor ship city,cruise ship in the outer harbor of german city
scene firefighter fire,firefighters on scene late morning after an early morning fire .
wagon horse hay,A horse is pulling a wagon full of hay.
colour splash add,adding a splash of colour .
dock port ship,ships dock at the port
ship fly plane,A red plane flying over a cruise ship.
mountain goat graze,A group of goats are grazing on a mountain.  
croissant cup coffee,Two croissants on a plate and a cup of coffee
meadow grass graze,Shaggy cattle with horns graze on grass in a meadow.
land plane pilot,pilots in the cockpit landing the plane .
bathroom paint color,A toilet bowl in a bathroom painted two different colors
chocolate coffee cup,a cup of coffee with bitter chocolate and dark brown sugar .
add pizza topping,Five pizzas sitting on a counter as toppings are being added.
block road sheep,sheep and goats blocking a bridge to mountain road
desk head sleep,The man is sleeping with his head down at the desk.
take aircraft runway,A passenger aircraft taking off from a runway.
island airplane fly,airplane flying over the island .
karaoke party singe,square portrait of young girls singing karaoke at a birthday party
end light tunnel,light at end of the tunnel
zoo giraffe look,this is people looking at a giraffe at the zoo
laptop student research,students do research on a laptop
room bath toilet,toilet and bath in the smaller double rooms
frame shape heart,frame in the shape of heart .
listen stethoscope heart,female doctor listens to the heart with stethoscope
speech politician deliver,politician delivers the opening speech
stand airport tarmac,an airplane stands on the tarmac in the airport .
snow angel lay,a girl lays down in the snow and makes a snow angel
sleep ball cat,domestic tabby cat curled into a ball sleeping
zebra tree graze,A zebra grazes under a large shade tree.
boat middle sea,lonely man on a boat in the middle of the sea
grow wall moss,rock wall with moss growing in between the rocks
aircraft runway airport,an aircraft is pulled to the runway at international airport
bedroom furniture decorate,A bedroom at a hotel decorated with furniture. 
city leave train,the special train left australian suburb for a city
fry hamburger serve,A hamburger and serving of fries on platter for customer
pair grass eat,a pair of white swans eat grass near the shore
kill bull matador,matador about to kill a bull
arm skateboard hold,A little girl holding her skateboard in one arm.
window light shine,A red light shines in his window.
stand sheep pen,A black and white sheep stands in its pen.
equation write blackboard,student writing an equation on blackboard
plane runway taxi,plane taxiing on the runway
sauce spread crust,A girl uses a spoon to spread sauce onto two small pizza crusts.
bar singe karaoke,A man in a bar is singing karaoke while other revelers are dancing.
serve waiter diner,Diners at a restaurant are served by a waiter.
student homework work,students work on their homework .
reflect cloud sky,the sky and clouds reflected
work beekeeper bee,beekeeper working with the bees
dress celebrity look,celebrity looks stunning in a yellow dress
slope skier valley,A skier doing down on slope overlooking a valley.
sky light city,beam of light in the sky above a city
keyboard cat lie,A cat lies on a laptop and paws the keyboard
ski mountain skier,Skier skis down the mountain
apple sale market,oranges and apples for sale in a market
break wave coast,the wave breaks about stones lying near to coast
bathroom bathtub toilet,The bathtub and toilet of a bathroom is shown.
grass hill horse,Wild horses are eating grass by a hill.
room couch lamp,A couch and lamp in a small room.
train track carry,The train is carrying cars down the railroad tracks. 
anchor ship dock,cargo ships anchored at the docks of port
